id,title
18,EOS 5D Mark IV DSLR Camera With EF 24-105mm IS USM Lens Fast Versatile Full Frame Camera 30.4 MP 4K Wi-Fi GPS
19,"65-Inch 4K UHD Google TV, Smart TV, Dolby vision, Dolby atmos, Google assistant, In-built chromecast and premium streaming channels Model ( 2023 ) 65P637 Black"
20,Band 6 All-Day SPO2 Monitoring Fullview Display 2 Weeks Battery Life 1.47 inch Graphite Black
21,iPhone 15 Pro Max 256GB Black Titanium 5G With FaceTime - Middle East Version
22,Galaxy S23 Ultra 5G Dual SIM Phantom Black 12GB RAM 256GB - International Version
23,"ZIPFORCE True Wireless Earbuds, in-Ear Bluetooth 5.3 Headphones, Bluetooth Earbuds Touch Control 30 Playtime, IPX5 Waterproof TWS, Light-Weight Earphones"
24,"MacBook Air With 13.3-inch Retina Display, Core i5 Processor/10th Gen/macOS/8GB RAM/512 GB SSD/Intel Iris Plus Graphics With English Keyboard-2020 Gold English Gold"
25,Galaxy Tab S8 Graphite 8GB RAM 128GB 5G - Middle East Version
26,"Inspiron 14 5410 Convertible Laptop With 14 Inch FHD Touchscreen Display, 11th Gen Intel Core i3-1125G4/ 256GB SSD/ 4 GB RAM/ Intel UHD Graphics/ Win 10 Home/ Eng Ar KB English/Arabic Silver"
27,AirPods (3rd generation) with Lightning Charging Case White
28,EOS 5D Mark IV DSLR Camera With EF 24-105mm IS USM Lens Fast Versatile Full Frame Camera 30.4 MP 4K Wi-Fi GPS
29,"65-Inch 4K UHD Google TV, Smart TV, Dolby vision, Dolby atmos, Google assistant, In-built chromecast and premium streaming channels Model ( 2023 ) 65P637 Black"
30,Band 6 All-Day SPO2 Monitoring Fullview Display 2 Weeks Battery Life 1.47 inch Graphite Black
31,iPhone 15 Pro Max 256GB Black Titanium 5G With FaceTime - Middle East Version
32,Galaxy S23 Ultra 5G Dual SIM Phantom Black 12GB RAM 256GB - International Version
33,"ZIPFORCE True Wireless Earbuds, in-Ear Bluetooth 5.3 Headphones, Bluetooth Earbuds Touch Control 30 Playtime, IPX5 Waterproof TWS, Light-Weight Earphones"
34,"MacBook Air With 13.3-inch Retina Display, Core i5 Processor/10th Gen/macOS/8GB RAM/512 GB SSD/Intel Iris Plus Graphics With English Keyboard-2020 Gold English Gold"
35,Galaxy Tab S8 Graphite 8GB RAM 128GB 5G - Middle East Version
36,"Inspiron 14 5410 Convertible Laptop With 14 Inch FHD Touchscreen Display, 11th Gen Intel Core i3-1125G4/ 256GB SSD/ 4 GB RAM/ Intel UHD Graphics/ Win 10 Home/ Eng Ar KB English/Arabic Silver"
37,AirPods (3rd generation) with Lightning Charging Case White
38,EOS 5D Mark IV DSLR Camera With EF 24-105mm IS USM Lens Fast Versatile Full Frame Camera 30.4 MP 4K Wi-Fi GPS
39,"65-Inch 4K UHD Google TV, Smart TV, Dolby vision, Dolby atmos, Google assistant, In-built chromecast and premium streaming channels Model ( 2023 ) 65P637 Black"
40,Band 6 All-Day SPO2 Monitoring Fullview Display 2 Weeks Battery Life 1.47 inch Graphite Black
41,iPhone 15 Pro Max 256GB Black Titanium 5G With FaceTime - Middle East Version
42,Galaxy S23 Ultra 5G Dual SIM Phantom Black 12GB RAM 256GB - International Version
43,"ZIPFORCE True Wireless Earbuds, in-Ear Bluetooth 5.3 Headphones, Bluetooth Earbuds Touch Control 30 Playtime, IPX5 Waterproof TWS, Light-Weight Earphones"
44,"MacBook Air With 13.3-inch Retina Display, Core i5 Processor/10th Gen/macOS/8GB RAM/512 GB SSD/Intel Iris Plus Graphics With English Keyboard-2020 Gold English Gold"
45,Galaxy Tab S8 Graphite 8GB RAM 128GB 5G - Middle East Version
46,"Inspiron 14 5410 Convertible Laptop With 14 Inch FHD Touchscreen Display, 11th Gen Intel Core i3-1125G4/ 256GB SSD/ 4 GB RAM/ Intel UHD Graphics/ Win 10 Home/ Eng Ar KB English/Arabic Silver"
47,AirPods (3rd generation) with Lightning Charging Case White
48,EOS 5D Mark IV DSLR Camera With EF 24-105mm IS USM Lens Fast Versatile Full Frame Camera 30.4 MP 4K Wi-Fi GPS
49,"65-Inch 4K UHD Google TV, Smart TV, Dolby vision, Dolby atmos, Google assistant, In-built chromecast and premium streaming channels Model ( 2023 ) 65P637 Black"
50,Band 6 All-Day SPO2 Monitoring Fullview Display 2 Weeks Battery Life 1.47 inch Graphite Black
51,iPhone 15 Pro Max 256GB Black Titanium 5G With FaceTime - Middle East Version
52,Galaxy S23 Ultra 5G Dual SIM Phantom Black 12GB RAM 256GB - International Version
53,"ZIPFORCE True Wireless Earbuds, in-Ear Bluetooth 5.3 Headphones, Bluetooth Earbuds Touch Control 30 Playtime, IPX5 Waterproof TWS, Light-Weight Earphones"
54,"MacBook Air With 13.3-inch Retina Display, Core i5 Processor/10th Gen/macOS/8GB RAM/512 GB SSD/Intel Iris Plus Graphics With English Keyboard-2020 Gold English Gold"
55,Galaxy Tab S8 Graphite 8GB RAM 128GB 5G - Middle East Version
56,"Inspiron 14 5410 Convertible Laptop With 14 Inch FHD Touchscreen Display, 11th Gen Intel Core i3-1125G4/ 256GB SSD/ 4 GB RAM/ Intel UHD Graphics/ Win 10 Home/ Eng Ar KB English/Arabic Silver"
57,AirPods (3rd generation) with Lightning Charging Case White
58,EOS 5D Mark IV DSLR Camera With EF 24-105mm IS USM Lens Fast Versatile Full Frame Camera 30.4 MP 4K Wi-Fi GPS
59,"65-Inch 4K UHD Google TV, Smart TV, Dolby vision, Dolby atmos, Google assistant, In-built chromecast and premium streaming channels Model ( 2023 ) 65P637 Black"
60,Band 6 All-Day SPO2 Monitoring Fullview Display 2 Weeks Battery Life 1.47 inch Graphite Black
61,iPhone 15 Pro Max 256GB Black Titanium 5G With FaceTime - Middle East Version
62,Galaxy S23 Ultra 5G Dual SIM Phantom Black 12GB RAM 256GB - International Version
63,"ZIPFORCE True Wireless Earbuds, in-Ear Bluetooth 5.3 Headphones, Bluetooth Earbuds Touch Control 30 Playtime, IPX5 Waterproof TWS, Light-Weight Earphones"
64,"MacBook Air With 13.3-inch Retina Display, Core i5 Processor/10th Gen/macOS/8GB RAM/512 GB SSD/Intel Iris Plus Graphics With English Keyboard-2020 Gold English Gold"
65,Galaxy Tab S8 Graphite 8GB RAM 128GB 5G - Middle East Version
66,"Inspiron 14 5410 Convertible Laptop With 14 Inch FHD Touchscreen Display, 11th Gen Intel Core i3-1125G4/ 256GB SSD/ 4 GB RAM/ Intel UHD Graphics/ Win 10 Home/ Eng Ar KB English/Arabic Silver"
67,AirPods (3rd generation) with Lightning Charging Case White
68,EOS 5D Mark IV DSLR Camera With EF 24-105mm IS USM Lens Fast Versatile Full Frame Camera 30.4 MP 4K Wi-Fi GPS
69,"65-Inch 4K UHD Google TV, Smart TV, Dolby vision, Dolby atmos, Google assistant, In-built chromecast and premium streaming channels Model ( 2023 ) 65P637 Black"
70,Band 6 All-Day SPO2 Monitoring Fullview Display 2 Weeks Battery Life 1.47 inch Graphite Black
71,iPhone 15 Pro Max 256GB Black Titanium 5G With FaceTime - Middle East Version
72,Galaxy S23 Ultra 5G Dual SIM Phantom Black 12GB RAM 256GB - International Version
73,"ZIPFORCE True Wireless Earbuds, in-Ear Bluetooth 5.3 Headphones, Bluetooth Earbuds Touch Control 30 Playtime, IPX5 Waterproof TWS, Light-Weight Earphones"
74,"MacBook Air With 13.3-inch Retina Display, Core i5 Processor/10th Gen/macOS/8GB RAM/512 GB SSD/Intel Iris Plus Graphics With English Keyboard-2020 Gold English Gold"
75,Galaxy Tab S8 Graphite 8GB RAM 128GB 5G - Middle East Version
76,"Inspiron 14 5410 Convertible Laptop With 14 Inch FHD Touchscreen Display, 11th Gen Intel Core i3-1125G4/ 256GB SSD/ 4 GB RAM/ Intel UHD Graphics/ Win 10 Home/ Eng Ar KB English/Arabic Silver"
77,AirPods (3rd generation) with Lightning Charging Case White
78,EOS 5D Mark IV DSLR Camera With EF 24-105mm IS USM Lens Fast Versatile Full Frame Camera 30.4 MP 4K Wi-Fi GPS
79,"65-Inch 4K UHD Google TV, Smart TV, Dolby vision, Dolby atmos, Google assistant, In-built chromecast and premium streaming channels Model ( 2023 ) 65P637 Black"
80,Band 6 All-Day SPO2 Monitoring Fullview Display 2 Weeks Battery Life 1.47 inch Graphite Black
81,iPhone 15 Pro Max 256GB Black Titanium 5G With FaceTime - Middle East Version
82,Galaxy S23 Ultra 5G Dual SIM Phantom Black 12GB RAM 256GB - International Version
83,"ZIPFORCE True Wireless Earbuds, in-Ear Bluetooth 5.3 Headphones, Bluetooth Earbuds Touch Control 30 Playtime, IPX5 Waterproof TWS, Light-Weight Earphones"
84,"MacBook Air With 13.3-inch Retina Display, Core i5 Processor/10th Gen/macOS/8GB RAM/512 GB SSD/Intel Iris Plus Graphics With English Keyboard-2020 Gold English Gold"
85,Galaxy Tab S8 Graphite 8GB RAM 128GB 5G - Middle East Version
86,"Inspiron 14 5410 Convertible Laptop With 14 Inch FHD Touchscreen Display, 11th Gen Intel Core i3-1125G4/ 256GB SSD/ 4 GB RAM/ Intel UHD Graphics/ Win 10 Home/ Eng Ar KB English/Arabic Silver"
87,AirPods (3rd generation) with Lightning Charging Case White
88,EOS 5D Mark IV DSLR Camera With EF 24-105mm IS USM Lens Fast Versatile Full Frame Camera 30.4 MP 4K Wi-Fi GPS
89,"65-Inch 4K UHD Google TV, Smart TV, Dolby vision, Dolby atmos, Google assistant, In-built chromecast and premium streaming channels Model ( 2023 ) 65P637 Black"
90,Band 6 All-Day SPO2 Monitoring Fullview Display 2 Weeks Battery Life 1.47 inch Graphite Black
91,PlayStation 5 With Blu-Ray Disc Version (New Model) - Official KSA Version
92,iPhone 15 Pro Max 256GB Black Titanium 5G With FaceTime - Middle East Version
93,Galaxy S23 Ultra 5G Dual SIM Phantom Black 12GB RAM 256GB - International Version
94,"ZIPFORCE True Wireless Earbuds, in-Ear Bluetooth 5.3 Headphones, Bluetooth Earbuds Touch Control 30 Playtime, IPX5 Waterproof TWS, Light-Weight Earphones"
95,"MacBook Air With 13.3-inch Retina Display, Core i5 Processor/10th Gen/macOS/8GB RAM/512 GB SSD/Intel Iris Plus Graphics With English Keyboard-2020 Gold English Gold"
96,Galaxy Tab S8 Graphite 8GB RAM 128GB 5G - Middle East Version
97,"Inspiron 14 5410 Convertible Laptop With 14 Inch FHD Touchscreen Display, 11th Gen Intel Core i3-1125G4/ 256GB SSD/ 4 GB RAM/ Intel UHD Graphics/ Win 10 Home/ Eng Ar KB English/Arabic Silver"
98,AirPods (3rd generation) with Lightning Charging Case White
99,EOS 5D Mark IV DSLR Camera With EF 24-105mm IS USM Lens Fast Versatile Full Frame Camera 30.4 MP 4K Wi-Fi GPS
100,"65-Inch 4K UHD Google TV, Smart TV, Dolby vision, Dolby atmos, Google assistant, In-built chromecast and premium streaming channels Model ( 2023 ) 65P637 Black"
101,Band 6 All-Day SPO2 Monitoring Fullview Display 2 Weeks Battery Life 1.47 inch Graphite Black
102,PlayStation 5 With Blu-Ray Disc Version (New Model) - Official KSA Version
103,iPhone 15 Pro Max 256GB Black Titanium 5G With FaceTime - Middle East Version
104,Galaxy S23 Ultra 5G Dual SIM Phantom Black 12GB RAM 256GB - International Version
105,"ZIPFORCE True Wireless Earbuds, in-Ear Bluetooth 5.3 Headphones, Bluetooth Earbuds Touch Control 30 Playtime, IPX5 Waterproof TWS, Light-Weight Earphones"
106,"MacBook Air With 13.3-inch Retina Display, Core i5 Processor/10th Gen/macOS/8GB RAM/512 GB SSD/Intel Iris Plus Graphics With English Keyboard-2020 Gold English Gold"
107,Galaxy Tab S8 Graphite 8GB RAM 128GB 5G - Middle East Version
108,"Inspiron 14 5410 Convertible Laptop With 14 Inch FHD Touchscreen Display, 11th Gen Intel Core i3-1125G4/ 256GB SSD/ 4 GB RAM/ Intel UHD Graphics/ Win 10 Home/ Eng Ar KB English/Arabic Silver"
109,AirPods (3rd generation) with Lightning Charging Case White
110,EOS 5D Mark IV DSLR Camera With EF 24-105mm IS USM Lens Fast Versatile Full Frame Camera 30.4 MP 4K Wi-Fi GPS
111,"65-Inch 4K UHD Google TV, Smart TV, Dolby vision, Dolby atmos, Google assistant, In-built chromecast and premium streaming channels Model ( 2023 ) 65P637 Black"
112,Band 6 All-Day SPO2 Monitoring Fullview Display 2 Weeks Battery Life 1.47 inch Graphite Black
113,PlayStation 5 With Blu-Ray Disc Version (New Model) - Official KSA Version
114,Flip 6 Portable Waterproof Speaker Black
115,iPhone 15 Pro Max 256GB Black Titanium 5G With FaceTime - Middle East Version
116,Galaxy S23 Ultra 5G Dual SIM Phantom Black 12GB RAM 256GB - International Version
117,"ZIPFORCE True Wireless Earbuds, in-Ear Bluetooth 5.3 Headphones, Bluetooth Earbuds Touch Control 30 Playtime, IPX5 Waterproof TWS, Light-Weight Earphones"
118,"MacBook Air With 13.3-inch Retina Display, Core i5 Processor/10th Gen/macOS/8GB RAM/512 GB SSD/Intel Iris Plus Graphics With English Keyboard-2020 Gold English Gold"
119,Galaxy Tab S8 Graphite 8GB RAM 128GB 5G - Middle East Version
120,"Inspiron 14 5410 Convertible Laptop With 14 Inch FHD Touchscreen Display, 11th Gen Intel Core i3-1125G4/ 256GB SSD/ 4 GB RAM/ Intel UHD Graphics/ Win 10 Home/ Eng Ar KB English/Arabic Silver"
121,AirPods (3rd generation) with Lightning Charging Case White
122,EOS 5D Mark IV DSLR Camera With EF 24-105mm IS USM Lens Fast Versatile Full Frame Camera 30.4 MP 4K Wi-Fi GPS
123,"65-Inch 4K UHD Google TV, Smart TV, Dolby vision, Dolby atmos, Google assistant, In-built chromecast and premium streaming channels Model ( 2023 ) 65P637 Black"
124,Band 6 All-Day SPO2 Monitoring Fullview Display 2 Weeks Battery Life 1.47 inch Graphite Black
125,PlayStation 5 With Blu-Ray Disc Version (New Model) - Official KSA Version
126,Flip 6 Portable Waterproof Speaker Black
127,iPhone 15 Pro Max 256GB Black Titanium 5G With FaceTime - Middle East Version
128,Galaxy S23 Ultra 5G Dual SIM Phantom Black 12GB RAM 256GB - International Version
129,"ZIPFORCE True Wireless Earbuds, in-Ear Bluetooth 5.3 Headphones, Bluetooth Earbuds Touch Control 30 Playtime, IPX5 Waterproof TWS, Light-Weight Earphones"
130,"MacBook Air With 13.3-inch Retina Display, Core i5 Processor/10th Gen/macOS/8GB RAM/512 GB SSD/Intel Iris Plus Graphics With English Keyboard-2020 Gold English Gold"
131,Galaxy Tab S8 Graphite 8GB RAM 128GB 5G - Middle East Version
132,"Inspiron 14 5410 Convertible Laptop With 14 Inch FHD Touchscreen Display, 11th Gen Intel Core i3-1125G4/ 256GB SSD/ 4 GB RAM/ Intel UHD Graphics/ Win 10 Home/ Eng Ar KB English/Arabic Silver"
133,AirPods (3rd generation) with Lightning Charging Case White
134,EOS 5D Mark IV DSLR Camera With EF 24-105mm IS USM Lens Fast Versatile Full Frame Camera 30.4 MP 4K Wi-Fi GPS
135,"65-Inch 4K UHD Google TV, Smart TV, Dolby vision, Dolby atmos, Google assistant, In-built chromecast and premium streaming channels Model ( 2023 ) 65P637 Black"
136,Band 6 All-Day SPO2 Monitoring Fullview Display 2 Weeks Battery Life 1.47 inch Graphite Black
137,PlayStation 5 With Blu-Ray Disc Version (New Model) - Official KSA Version
138,Flip 6 Portable Waterproof Speaker Black
139,20000mAh High-Speed Charging Technology Powerbank 18 watt Black
140,iPad 2022 (10th Generation) 10.9-inch 64GB WiFi Silver - International Version
141,iPhone 15 Pro Max 256GB Black Titanium 5G With FaceTime - Middle East Version
142,Galaxy S23 Ultra 5G Dual SIM Phantom Black 12GB RAM 256GB - International Version
143,"ZIPFORCE True Wireless Earbuds, in-Ear Bluetooth 5.3 Headphones, Bluetooth Earbuds Touch Control 30 Playtime, IPX5 Waterproof TWS, Light-Weight Earphones"
144,"MacBook Air With 13.3-inch Retina Display, Core i5 Processor/10th Gen/macOS/8GB RAM/512 GB SSD/Intel Iris Plus Graphics With English Keyboard-2020 Gold English Gold"
145,Galaxy Tab S8 Graphite 8GB RAM 128GB 5G - Middle East Version
146,"Inspiron 14 5410 Convertible Laptop With 14 Inch FHD Touchscreen Display, 11th Gen Intel Core i3-1125G4/ 256GB SSD/ 4 GB RAM/ Intel UHD Graphics/ Win 10 Home/ Eng Ar KB English/Arabic Silver"
147,AirPods (3rd generation) with Lightning Charging Case White
148,EOS 5D Mark IV DSLR Camera With EF 24-105mm IS USM Lens Fast Versatile Full Frame Camera 30.4 MP 4K Wi-Fi GPS
149,"65-Inch 4K UHD Google TV, Smart TV, Dolby vision, Dolby atmos, Google assistant, In-built chromecast and premium streaming channels Model ( 2023 ) 65P637 Black"
150,Band 6 All-Day SPO2 Monitoring Fullview Display 2 Weeks Battery Life 1.47 inch Graphite Black
151,PlayStation 5 With Blu-Ray Disc Version (New Model) - Official KSA Version
152,Flip 6 Portable Waterproof Speaker Black
153,20000mAh High-Speed Charging Technology Powerbank 18 watt Black
154,iPad 2022 (10th Generation) 10.9-inch 64GB WiFi Silver - International Version
155,iPhone 15 Pro Max 256GB Black Titanium 5G With FaceTime - Middle East Version
156,Galaxy S23 Ultra 5G Dual SIM Phantom Black 12GB RAM 256GB - International Version
157,"ZIPFORCE True Wireless Earbuds, in-Ear Bluetooth 5.3 Headphones, Bluetooth Earbuds Touch Control 30 Playtime, IPX5 Waterproof TWS, Light-Weight Earphones"
158,"MacBook Air With 13.3-inch Retina Display, Core i5 Processor/10th Gen/macOS/8GB RAM/512 GB SSD/Intel Iris Plus Graphics With English Keyboard-2020 Gold English Gold"
159,Galaxy Tab S8 Graphite 8GB RAM 128GB 5G - Middle East Version
160,"Inspiron 14 5410 Convertible Laptop With 14 Inch FHD Touchscreen Display, 11th Gen Intel Core i3-1125G4/ 256GB SSD/ 4 GB RAM/ Intel UHD Graphics/ Win 10 Home/ Eng Ar KB English/Arabic Silver"
161,AirPods (3rd generation) with Lightning Charging Case White
162,EOS 5D Mark IV DSLR Camera With EF 24-105mm IS USM Lens Fast Versatile Full Frame Camera 30.4 MP 4K Wi-Fi GPS
163,"65-Inch 4K UHD Google TV, Smart TV, Dolby vision, Dolby atmos, Google assistant, In-built chromecast and premium streaming channels Model ( 2023 ) 65P637 Black"
164,Band 6 All-Day SPO2 Monitoring Fullview Display 2 Weeks Battery Life 1.47 inch Graphite Black
165,PlayStation 5 With Blu-Ray Disc Version (New Model) - Official KSA Version
166,Flip 6 Portable Waterproof Speaker Black
167,20000mAh High-Speed Charging Technology Powerbank 18 watt Black
168,iPad 2022 (10th Generation) 10.9-inch 64GB WiFi Silver - International Version
170,iPhone 15 Pro Max 256GB Black Titanium 5G With FaceTime - Middle East Version
171,Galaxy S23 Ultra 5G Dual SIM Phantom Black 12GB RAM 256GB - International Version
172,"ZIPFORCE True Wireless Earbuds, in-Ear Bluetooth 5.3 Headphones, Bluetooth Earbuds Touch Control 30 Playtime, IPX5 Waterproof TWS, Light-Weight Earphones"
173,"MacBook Air With 13.3-inch Retina Display, Core i5 Processor/10th Gen/macOS/8GB RAM/512 GB SSD/Intel Iris Plus Graphics With English Keyboard-2020 Gold English Gold"
174,Galaxy Tab S8 Graphite 8GB RAM 128GB 5G - Middle East Version
175,"Inspiron 14 5410 Convertible Laptop With 14 Inch FHD Touchscreen Display, 11th Gen Intel Core i3-1125G4/ 256GB SSD/ 4 GB RAM/ Intel UHD Graphics/ Win 10 Home/ Eng Ar KB English/Arabic Silver"
176,AirPods (3rd generation) with Lightning Charging Case White
177,EOS 5D Mark IV DSLR Camera With EF 24-105mm IS USM Lens Fast Versatile Full Frame Camera 30.4 MP 4K Wi-Fi GPS
178,"65-Inch 4K UHD Google TV, Smart TV, Dolby vision, Dolby atmos, Google assistant, In-built chromecast and premium streaming channels Model ( 2023 ) 65P637 Black"
179,Band 6 All-Day SPO2 Monitoring Fullview Display 2 Weeks Battery Life 1.47 inch Graphite Black
180,PlayStation 5 With Blu-Ray Disc Version (New Model) - Official KSA Version
181,Flip 6 Portable Waterproof Speaker Black
182,20000mAh High-Speed Charging Technology Powerbank 18 watt Black
183,iPad 2022 (10th Generation) 10.9-inch 64GB WiFi Silver - International Version
184,Apple iPhone 15 Pro Max
185,Samsung Galaxy S23 Ultra
186,"Apple iPhone 15 Pro Max, 5G, 6.7-inch, 256GB, Natural Titanium"
187,Redmi Note 13 Dual SIM Chromatic Purple 8GB RAM 256GB 5G - Global Version
188,iPhone 15 Pro Max 256GB Black Titanium 5G With FaceTime - Middle East Version
189,Galaxy S23 Ultra 5G Dual SIM Phantom Black 12GB RAM 256GB - International Version
190,"ZIPFORCE True Wireless Earbuds, in-Ear Bluetooth 5.3 Headphones, Bluetooth Earbuds Touch Control 30 Playtime, IPX5 Waterproof TWS, Light-Weight Earphones"
191,"MacBook Air With 13.3-inch Retina Display, Core i5 Processor/10th Gen/macOS/8GB RAM/512 GB SSD/Intel Iris Plus Graphics With English Keyboard-2020 Gold English Gold"
192,Galaxy Tab S8 Graphite 8GB RAM 128GB 5G - Middle East Version
193,"Inspiron 14 5410 Convertible Laptop With 14 Inch FHD Touchscreen Display, 11th Gen Intel Core i3-1125G4/ 256GB SSD/ 4 GB RAM/ Intel UHD Graphics/ Win 10 Home/ Eng Ar KB English/Arabic Silver"
194,AirPods (3rd generation) with Lightning Charging Case White
195,EOS 5D Mark IV DSLR Camera With EF 24-105mm IS USM Lens Fast Versatile Full Frame Camera 30.4 MP 4K Wi-Fi GPS
196,"65-Inch 4K UHD Google TV, Smart TV, Dolby vision, Dolby atmos, Google assistant, In-built chromecast and premium streaming channels Model ( 2023 ) 65P637 Black"
197,Band 6 All-Day SPO2 Monitoring Fullview Display 2 Weeks Battery Life 1.47 inch Graphite Black
198,PlayStation 5 With Blu-Ray Disc Version (New Model) - Official KSA Version
199,Flip 6 Portable Waterproof Speaker Black
200,20000mAh High-Speed Charging Technology Powerbank 18 watt Black
201,iPad 2022 (10th Generation) 10.9-inch 64GB WiFi Silver - International Version
202,Apple iPhone 15 Pro Max
203,Samsung Galaxy S23 Ultra
204,"Apple iPhone 15 Pro Max, 5G, 6.7-inch, 256GB, Natural Titanium"
205,Redmi Note 13 Dual SIM Chromatic Purple 8GB RAM 256GB 5G - Global Version
206,DISQUE DUR INTERNE SSD ADATA ASX6000 LITE 256GB PCIE 3D NAND PCIE GEN
207,CLÉ USB TEAM GROUP C212 1TO USB 3.2 - NOIR
208,iPhone 15 Pro Max 256GB Black Titanium 5G With FaceTime - Middle East Version
209,Galaxy S23 Ultra 5G Dual SIM Phantom Black 12GB RAM 256GB - International Version
210,"ZIPFORCE True Wireless Earbuds, in-Ear Bluetooth 5.3 Headphones, Bluetooth Earbuds Touch Control 30 Playtime, IPX5 Waterproof TWS, Light-Weight Earphones"
211,"MacBook Air With 13.3-inch Retina Display, Core i5 Processor/10th Gen/macOS/8GB RAM/512 GB SSD/Intel Iris Plus Graphics With English Keyboard-2020 Gold English Gold"
212,Galaxy Tab S8 Graphite 8GB RAM 128GB 5G - Middle East Version
213,"Inspiron 14 5410 Convertible Laptop With 14 Inch FHD Touchscreen Display, 11th Gen Intel Core i3-1125G4/ 256GB SSD/ 4 GB RAM/ Intel UHD Graphics/ Win 10 Home/ Eng Ar KB English/Arabic Silver"
214,AirPods (3rd generation) with Lightning Charging Case White
215,EOS 5D Mark IV DSLR Camera With EF 24-105mm IS USM Lens Fast Versatile Full Frame Camera 30.4 MP 4K Wi-Fi GPS
216,"65-Inch 4K UHD Google TV, Smart TV, Dolby vision, Dolby atmos, Google assistant, In-built chromecast and premium streaming channels Model ( 2023 ) 65P637 Black"
217,Band 6 All-Day SPO2 Monitoring Fullview Display 2 Weeks Battery Life 1.47 inch Graphite Black
218,PlayStation 5 With Blu-Ray Disc Version (New Model) - Official KSA Version
219,Flip 6 Portable Waterproof Speaker Black
220,20000mAh High-Speed Charging Technology Powerbank 18 watt Black
221,iPad 2022 (10th Generation) 10.9-inch 64GB WiFi Silver - International Version
222,Apple iPhone 15 Pro Max
223,Samsung Galaxy S23 Ultra
224,"Apple iPhone 15 Pro Max, 5G, 6.7-inch, 256GB, Natural Titanium"
225,Redmi Note 13 Dual SIM Chromatic Purple 8GB RAM 256GB 5G - Global Version
226,DISQUE DUR INTERNE SSD ADATA ASX6000 LITE 256GB PCIE 3D NAND PCIE GEN
227,CLÉ USB TEAM GROUP C212 1TO USB 3.2 - NOIR
228,CLÉ USB TEAM GROUP C173 8GO USB 2.0 - NOIR
229,iPhone 15 Pro Max 256GB Black Titanium 5G With FaceTime - Middle East Version
230,Galaxy S23 Ultra 5G Dual SIM Phantom Black 12GB RAM 256GB - International Version
231,"ZIPFORCE True Wireless Earbuds, in-Ear Bluetooth 5.3 Headphones, Bluetooth Earbuds Touch Control 30 Playtime, IPX5 Waterproof TWS, Light-Weight Earphones"
232,"MacBook Air With 13.3-inch Retina Display, Core i5 Processor/10th Gen/macOS/8GB RAM/512 GB SSD/Intel Iris Plus Graphics With English Keyboard-2020 Gold English Gold"
233,Galaxy Tab S8 Graphite 8GB RAM 128GB 5G - Middle East Version
234,"Inspiron 14 5410 Convertible Laptop With 14 Inch FHD Touchscreen Display, 11th Gen Intel Core i3-1125G4/ 256GB SSD/ 4 GB RAM/ Intel UHD Graphics/ Win 10 Home/ Eng Ar KB English/Arabic Silver"
235,AirPods (3rd generation) with Lightning Charging Case White
236,EOS 5D Mark IV DSLR Camera With EF 24-105mm IS USM Lens Fast Versatile Full Frame Camera 30.4 MP 4K Wi-Fi GPS
